category_department,department_id,category_level,level_id,category_role,role_id,department_role_id,department_role
research_&_development,1,entry_level,1,research_director,1,111,"research_&_development, entry_level, research_director"
research_&_development,1,entry_level,1,manager,2,112,"research_&_development, entry_level, manager"
research_&_development,1,entry_level,1,sales_executive,3,113,"research_&_development, entry_level, sales_executive"
research_&_development,1,entry_level,1,manufacturing_director,4,114,"research_&_development, entry_level, manufacturing_director"
research_&_development,1,entry_level,1,research_scientist,5,115,"research_&_development, entry_level, research_scientist"
research_&_development,1,entry_level,1,healthcare_representative,6,116,"research_&_development, entry_level, healthcare_representative"
research_&_development,1,entry_level,1,laboratory_technician,7,117,"research_&_development, entry_level, laboratory_technician"
research_&_development,1,entry_level,1,sales_representative,8,118,"research_&_development, entry_level, sales_representative"
research_&_development,1,entry_level,1,human_resources,9,119,"research_&_development, entry_level, human_resources"
research_&_development,1,manager,2,research_director,1,121,"research_&_development, manager, research_director"
research_&_development,1,manager,2,manager,2,122,"research_&_development, manager, manager"
research_&_development,1,manager,2,sales_executive,3,123,"research_&_development, manager, sales_executive"
research_&_development,1,manager,2,manufacturing_director,4,124,"research_&_development, manager, manufacturing_director"
research_&_development,1,manager,2,research_scientist,5,125,"research_&_development, manager, research_scientist"
research_&_development,1,manager,2,healthcare_representative,6,126,"research_&_development, manager, healthcare_representative"
research_&_development,1,manager,2,laboratory_technician,7,127,"research_&_development, manager, laboratory_technician"
research_&_development,1,manager,2,sales_representative,8,128,"research_&_development, manager, sales_representative"
research_&_development,1,manager,2,human_resources,9,129,"research_&_development, manager, human_resources"
research_&_development,1,executive,3,research_director,1,131,"research_&_development, executive, research_director"
research_&_development,1,executive,3,manager,2,132,"research_&_development, executive, manager"
research_&_development,1,executive,3,sales_executive,3,133,"research_&_development, executive, sales_executive"
research_&_development,1,executive,3,manufacturing_director,4,134,"research_&_development, executive, manufacturing_director"
research_&_development,1,executive,3,research_scientist,5,135,"research_&_development, executive, research_scientist"
research_&_development,1,executive,3,healthcare_representative,6,136,"research_&_development, executive, healthcare_representative"
research_&_development,1,executive,3,laboratory_technician,7,137,"research_&_development, executive, laboratory_technician"
research_&_development,1,executive,3,sales_representative,8,138,"research_&_development, executive, sales_representative"
research_&_development,1,executive,3,human_resources,9,139,"research_&_development, executive, human_resources"
research_&_development,1,intermediate,4,research_director,1,141,"research_&_development, intermediate, research_director"
research_&_development,1,intermediate,4,manager,2,142,"research_&_development, intermediate, manager"
research_&_development,1,intermediate,4,sales_executive,3,143,"research_&_development, intermediate, sales_executive"
research_&_development,1,intermediate,4,manufacturing_director,4,144,"research_&_development, intermediate, manufacturing_director"
research_&_development,1,intermediate,4,research_scientist,5,145,"research_&_development, intermediate, research_scientist"
research_&_development,1,intermediate,4,healthcare_representative,6,146,"research_&_development, intermediate, healthcare_representative"
research_&_development,1,intermediate,4,laboratory_technician,7,147,"research_&_development, intermediate, laboratory_technician"
research_&_development,1,intermediate,4,sales_representative,8,148,"research_&_development, intermediate, sales_representative"
research_&_development,1,intermediate,4,human_resources,9,149,"research_&_development, intermediate, human_resources"
research_&_development,1,senior,5,research_director,1,151,"research_&_development, senior, research_director"
research_&_development,1,senior,5,manager,2,152,"research_&_development, senior, manager"
research_&_development,1,senior,5,sales_executive,3,153,"research_&_development, senior, sales_executive"
research_&_development,1,senior,5,manufacturing_director,4,154,"research_&_development, senior, manufacturing_director"
research_&_development,1,senior,5,research_scientist,5,155,"research_&_development, senior, research_scientist"
research_&_development,1,senior,5,healthcare_representative,6,156,"research_&_development, senior, healthcare_representative"
research_&_development,1,senior,5,laboratory_technician,7,157,"research_&_development, senior, laboratory_technician"
research_&_development,1,senior,5,sales_representative,8,158,"research_&_development, senior, sales_representative"
research_&_development,1,senior,5,human_resources,9,159,"research_&_development, senior, human_resources"
sales,2,entry_level,1,research_director,1,211,"sales, entry_level, research_director"
sales,2,entry_level,1,manager,2,212,"sales, entry_level, manager"
sales,2,entry_level,1,sales_executive,3,213,"sales, entry_level, sales_executive"
sales,2,entry_level,1,manufacturing_director,4,214,"sales, entry_level, manufacturing_director"
sales,2,entry_level,1,research_scientist,5,215,"sales, entry_level, research_scientist"
sales,2,entry_level,1,healthcare_representative,6,216,"sales, entry_level, healthcare_representative"
sales,2,entry_level,1,laboratory_technician,7,217,"sales, entry_level, laboratory_technician"
sales,2,entry_level,1,sales_representative,8,218,"sales, entry_level, sales_representative"
sales,2,entry_level,1,human_resources,9,219,"sales, entry_level, human_resources"
sales,2,manager,2,research_director,1,221,"sales, manager, research_director"
sales,2,manager,2,manager,2,222,"sales, manager, manager"
sales,2,manager,2,sales_executive,3,223,"sales, manager, sales_executive"
sales,2,manager,2,manufacturing_director,4,224,"sales, manager, manufacturing_director"
sales,2,manager,2,research_scientist,5,225,"sales, manager, research_scientist"
sales,2,manager,2,healthcare_representative,6,226,"sales, manager, healthcare_representative"
sales,2,manager,2,laboratory_technician,7,227,"sales, manager, laboratory_technician"
sales,2,manager,2,sales_representative,8,228,"sales, manager, sales_representative"
sales,2,manager,2,human_resources,9,229,"sales, manager, human_resources"
sales,2,executive,3,research_director,1,231,"sales, executive, research_director"
sales,2,executive,3,manager,2,232,"sales, executive, manager"
sales,2,executive,3,sales_executive,3,233,"sales, executive, sales_executive"
sales,2,executive,3,manufacturing_director,4,234,"sales, executive, manufacturing_director"
sales,2,executive,3,research_scientist,5,235,"sales, executive, research_scientist"
sales,2,executive,3,healthcare_representative,6,236,"sales, executive, healthcare_representative"
sales,2,executive,3,laboratory_technician,7,237,"sales, executive, laboratory_technician"
sales,2,executive,3,sales_representative,8,238,"sales, executive, sales_representative"
sales,2,executive,3,human_resources,9,239,"sales, executive, human_resources"
sales,2,intermediate,4,research_director,1,241,"sales, intermediate, research_director"
sales,2,intermediate,4,manager,2,242,"sales, intermediate, manager"
sales,2,intermediate,4,sales_executive,3,243,"sales, intermediate, sales_executive"
sales,2,intermediate,4,manufacturing_director,4,244,"sales, intermediate, manufacturing_director"
sales,2,intermediate,4,research_scientist,5,245,"sales, intermediate, research_scientist"
sales,2,intermediate,4,healthcare_representative,6,246,"sales, intermediate, healthcare_representative"
sales,2,intermediate,4,laboratory_technician,7,247,"sales, intermediate, laboratory_technician"
sales,2,intermediate,4,sales_representative,8,248,"sales, intermediate, sales_representative"
sales,2,intermediate,4,human_resources,9,249,"sales, intermediate, human_resources"
sales,2,senior,5,research_director,1,251,"sales, senior, research_director"
sales,2,senior,5,manager,2,252,"sales, senior, manager"
sales,2,senior,5,sales_executive,3,253,"sales, senior, sales_executive"
sales,2,senior,5,manufacturing_director,4,254,"sales, senior, manufacturing_director"
sales,2,senior,5,research_scientist,5,255,"sales, senior, research_scientist"
sales,2,senior,5,healthcare_representative,6,256,"sales, senior, healthcare_representative"
sales,2,senior,5,laboratory_technician,7,257,"sales, senior, laboratory_technician"
sales,2,senior,5,sales_representative,8,258,"sales, senior, sales_representative"
sales,2,senior,5,human_resources,9,259,"sales, senior, human_resources"
human_resources,3,entry_level,1,research_director,1,311,"human_resources, entry_level, research_director"
human_resources,3,entry_level,1,manager,2,312,"human_resources, entry_level, manager"
human_resources,3,entry_level,1,sales_executive,3,313,"human_resources, entry_level, sales_executive"
human_resources,3,entry_level,1,manufacturing_director,4,314,"human_resources, entry_level, manufacturing_director"
human_resources,3,entry_level,1,research_scientist,5,315,"human_resources, entry_level, research_scientist"
human_resources,3,entry_level,1,healthcare_representative,6,316,"human_resources, entry_level, healthcare_representative"
human_resources,3,entry_level,1,laboratory_technician,7,317,"human_resources, entry_level, laboratory_technician"
human_resources,3,entry_level,1,sales_representative,8,318,"human_resources, entry_level, sales_representative"
human_resources,3,entry_level,1,human_resources,9,319,"human_resources, entry_level, human_resources"
human_resources,3,manager,2,research_director,1,321,"human_resources, manager, research_director"
human_resources,3,manager,2,manager,2,322,"human_resources, manager, manager"
human_resources,3,manager,2,sales_executive,3,323,"human_resources, manager, sales_executive"
human_resources,3,manager,2,manufacturing_director,4,324,"human_resources, manager, manufacturing_director"
human_resources,3,manager,2,research_scientist,5,325,"human_resources, manager, research_scientist"
human_resources,3,manager,2,healthcare_representative,6,326,"human_resources, manager, healthcare_representative"
human_resources,3,manager,2,laboratory_technician,7,327,"human_resources, manager, laboratory_technician"
human_resources,3,manager,2,sales_representative,8,328,"human_resources, manager, sales_representative"
human_resources,3,manager,2,human_resources,9,329,"human_resources, manager, human_resources"
human_resources,3,executive,3,research_director,1,331,"human_resources, executive, research_director"
human_resources,3,executive,3,manager,2,332,"human_resources, executive, manager"
human_resources,3,executive,3,sales_executive,3,333,"human_resources, executive, sales_executive"
human_resources,3,executive,3,manufacturing_director,4,334,"human_resources, executive, manufacturing_director"
human_resources,3,executive,3,research_scientist,5,335,"human_resources, executive, research_scientist"
human_resources,3,executive,3,healthcare_representative,6,336,"human_resources, executive, healthcare_representative"
human_resources,3,executive,3,laboratory_technician,7,337,"human_resources, executive, laboratory_technician"
human_resources,3,executive,3,sales_representative,8,338,"human_resources, executive, sales_representative"
human_resources,3,executive,3,human_resources,9,339,"human_resources, executive, human_resources"
human_resources,3,intermediate,4,research_director,1,341,"human_resources, intermediate, research_director"
human_resources,3,intermediate,4,manager,2,342,"human_resources, intermediate, manager"
human_resources,3,intermediate,4,sales_executive,3,343,"human_resources, intermediate, sales_executive"
human_resources,3,intermediate,4,manufacturing_director,4,344,"human_resources, intermediate, manufacturing_director"
human_resources,3,intermediate,4,research_scientist,5,345,"human_resources, intermediate, research_scientist"
human_resources,3,intermediate,4,healthcare_representative,6,346,"human_resources, intermediate, healthcare_representative"
human_resources,3,intermediate,4,laboratory_technician,7,347,"human_resources, intermediate, laboratory_technician"
human_resources,3,intermediate,4,sales_representative,8,348,"human_resources, intermediate, sales_representative"
human_resources,3,intermediate,4,human_resources,9,349,"human_resources, intermediate, human_resources"
human_resources,3,senior,5,research_director,1,351,"human_resources, senior, research_director"
human_resources,3,senior,5,manager,2,352,"human_resources, senior, manager"
human_resources,3,senior,5,sales_executive,3,353,"human_resources, senior, sales_executive"
human_resources,3,senior,5,manufacturing_director,4,354,"human_resources, senior, manufacturing_director"
human_resources,3,senior,5,research_scientist,5,355,"human_resources, senior, research_scientist"
human_resources,3,senior,5,healthcare_representative,6,356,"human_resources, senior, healthcare_representative"
human_resources,3,senior,5,laboratory_technician,7,357,"human_resources, senior, laboratory_technician"
human_resources,3,senior,5,sales_representative,8,358,"human_resources, senior, sales_representative"
human_resources,3,senior,5,human_resources,9,359,"human_resources, senior, human_resources"
,,entry_level,1,research_director,1,11,"entry_level, research_director"
,,entry_level,1,manager,2,12,"entry_level, manager"
,,entry_level,1,sales_executive,3,13,"entry_level, sales_executive"
,,entry_level,1,manufacturing_director,4,14,"entry_level, manufacturing_director"
,,entry_level,1,research_scientist,5,15,"entry_level, research_scientist"
,,entry_level,1,healthcare_representative,6,16,"entry_level, healthcare_representative"
,,entry_level,1,laboratory_technician,7,17,"entry_level, laboratory_technician"
,,entry_level,1,sales_representative,8,18,"entry_level, sales_representative"
,,entry_level,1,human_resources,9,19,"entry_level, human_resources"
,,manager,2,research_director,1,21,"manager, research_director"
,,manager,2,manager,2,22,"manager, manager"
,,manager,2,sales_executive,3,23,"manager, sales_executive"
,,manager,2,manufacturing_director,4,24,"manager, manufacturing_director"
,,manager,2,research_scientist,5,25,"manager, research_scientist"
,,manager,2,healthcare_representative,6,26,"manager, healthcare_representative"
,,manager,2,laboratory_technician,7,27,"manager, laboratory_technician"
,,manager,2,sales_representative,8,28,"manager, sales_representative"
,,manager,2,human_resources,9,29,"manager, human_resources"
,,executive,3,research_director,1,31,"executive, research_director"
,,executive,3,manager,2,32,"executive, manager"
,,executive,3,sales_executive,3,33,"executive, sales_executive"
,,executive,3,manufacturing_director,4,34,"executive, manufacturing_director"
,,executive,3,research_scientist,5,35,"executive, research_scientist"
,,executive,3,healthcare_representative,6,36,"executive, healthcare_representative"
,,executive,3,laboratory_technician,7,37,"executive, laboratory_technician"
,,executive,3,sales_representative,8,38,"executive, sales_representative"
,,executive,3,human_resources,9,39,"executive, human_resources"
,,intermediate,4,research_director,1,41,"intermediate, research_director"
,,intermediate,4,manager,2,42,"intermediate, manager"
,,intermediate,4,sales_executive,3,43,"intermediate, sales_executive"
,,intermediate,4,manufacturing_director,4,44,"intermediate, manufacturing_director"
