age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,salary,remote_work,iter_hourly_rate,iter_total_working_years,iter_monthly_income,iter_salary,knn_hourly_rate,knn_total_working_years,knn_monthly_income,knn_salary
51,no,NA,2015.72,NA,6,3,NA,1,Low,female,251.96724093925067,high,executive,research_director,high,NA,16280.83,42330.17,7,no,13,"3,0",high,full_time,0,30.039743798226993,5,good,20,15,15,1972,195370.0,yes,83.042301980198,11.318933823529411,16280.83,195370.0,83.042301980198,11.318933823529411,16280.83,195370.0
52,no,NA,2063.39,NA,1,4,life_sciences,2,High,female,257.9258120146022,medium,executive,manager,high,NA,17117.127782767435,43331.17,0,no,14,"3,0",low,part_time,1,34.0,5,good,33,11,9,1971,199990.0,yes,83.042301980198,34.0,5697.60022687609,199990.0,83.042301980198,34.0,5697.60022687609,199990.0
42,no,travel_rarely,1984.25,research_&_development,4,2,technical_degree,3,High,female,248.03335278860126,high,executive,manager,very_high,married,16468.25212036218,41669.33,1,no,11,"3,0",very_high,part_time,0,22.0,3,good,22,11,15,1981,192320.0,yes,83.042301980198,22.0,5697.60022687609,192320.0,83.042301980198,22.0,5697.60022687609,192320.0
47,no,travel_rarely,1771.4,NA,2,4,medical,4,Low,male,221.42699808455046,high,manager,research_director,high,married,14307.5,37199.5,3,no,19,"3,0",medium,full_time,2,26.67270687498292,2,good,20,5,6,1976,171690.0,no,83.042301980198,11.318933823529411,14307.5,171690.0,83.042301980198,11.318933823529411,14307.5,171690.0
46,no,NA,1582.77,NA,3,3,technical_degree,5,Low,male,102.95816226378088,very_high,manager,sales_executive,low,divorced,12783.92,33238.2,2,no,12,"3,0",very_high,part_time,1,11.260714768989226,5,good,19,2,8,1977,79832.80474607905,no,83.042301980198,11.318933823529411,12783.92,65245.87531343283,83.042301980198,11.318933823529411,12783.92,65245.87531343283
48,no,NA,1771.92,research_&_development,22,3,medical,6,Very High,male,107.03771937663943,high,manager,manager,very_high,NA,14311.67,37210.33,3,no,11,"3,0",medium,part_time,1,11.2257637396325,3,good,22,4,7,1975,82995.97915848801,yes,83.042301980198,11.318933823529411,14311.67,65245.87531343283,83.042301980198,11.318933823529411,14311.67,65245.87531343283
59,no,NA,1032.49,NA,25,3,life_sciences,7,Low,male,129.06104830404894,high,senior,sales_executive,low,NA,8339.32,21682.23,7,no,11,"3,0",very_high,part_time,0,28.0,3,low,21,7,9,1964,100071.84,yes,83.042301980198,28.0,8339.32,100071.84,83.042301980198,28.0,8339.32,100071.84
42,no,travel_rarely,556.26,NA,1,1,NA,8,Medium,female,69.53,high,intermediate,sales_executive,high,married,4758.553369978536,11681.39,1,no,25,"4,0",high,part_time,0,20.0,3,good,20,11,6,1981,53914.11,no,69.53,20.0,5697.60022687609,53914.11,69.53,20.0,5697.60022687609,53914.11
41,no,NA,1712.18,NA,2,5,NA,9,Medium,male,214.02393863617655,high,manager,manager,low,married,13829.17,35955.83,7,no,16,"3,0",medium,full_time,1,22.0,2,good,18,11,8,1982,165950.0,yes,83.042301980198,22.0,13829.17,165950.0,83.042301980198,22.0,13829.17,165950.0
41,no,travel_frequently,1973.98,NA,9,3,NA,10,Low,female,150.4717400589286,high,executive,research_director,high,NA,15943.72,41453.67,2,no,17,"3,0",medium,part_time,1,21.0,2,excellent,18,0,11,1982,116673.29354667739,no,83.042301980198,21.0,15943.72,65245.87531343283,83.042301980198,21.0,15943.72,65245.87531343283
41,no,non_travel,2060.71,NA,7,1,NA,11,Medium,male,257.590359978327,low,executive,research_director,high,NA,16644.17,43274.83,1,no,22,"4,0",medium,full_time,2,30.659685305035318,3,good,21,5,10,1982,199730.0,no,83.042301980198,11.318933823529411,16644.17,199730.0,83.042301980198,11.318933823529411,16644.17,199730.0
56,no,travel_rarely,1382.75,NA,23,3,life_sciences,12,Very High,female,172.84,high,manager,manufacturing_director,medium,married,11535.798792500333,29037.67,4,yes,12,"3,0",low,full_time,1,33.0,0,good,19,15,9,1967,134020.0,no,172.84,33.0,5697.60022687609,134020.0,172.84,33.0,5697.60022687609,134020.0
38,no,NA,1362.52,NA,10,3,medical,13,Medium,male,170.3159388469103,low,senior,research_director,high,married,11370.012813981473,28613.0,3,no,12,"3,0",low,full_time,1,20.897798057460726,3,good,18,1,11,1985,132060.0,yes,83.042301980198,11.318933823529411,5697.60022687609,132060.0,83.042301980198,11.318933823529411,5697.60022687609,132060.0
41,yes,travel_rarely,2016.55,NA,12,3,NA,14,Medium,male,252.07041442422437,high,executive,research_director,high,married,16733.038111989306,42347.5,1,no,12,"3,0",very_high,full_time,0,29.880282917921114,0,good,22,15,8,1982,195450.0,no,83.042301980198,11.318933823529411,5697.60022687609,195450.0,83.042301980198,11.318933823529411,5697.60022687609,195450.0
55,no,NA,1973.98,NA,14,4,medical,15,High,female,111.39578920877216,very_high,executive,research_director,medium,single,15943.72,41453.67,8,no,11,"3,0",very_high,part_time,0,11.188426591891282,3,good,24,2,15,1968,86375.10453880025,yes,83.042301980198,11.318933823529411,15943.72,65245.87531343283,83.042301980198,11.318933823529411,15943.72,65245.87531343283
40,no,travel_rarely,1861.37,NA,2,4,NA,16,High,male,232.67323616277073,high,executive,manager,high,NA,15034.17,39088.83,0,no,14,"3,0",very_high,full_time,0,27.912593722945452,2,good,20,1,12,1983,180410.0,no,83.042301980198,11.318933823529411,15034.17,180410.0,83.042301980198,11.318933823529411,15034.17,180410.0
58,yes,travel_rarely,1985.7,NA,2,4,NA,17,Very High,female,248.21458822904017,high,executive,research_director,medium,single,16038.33,41699.67,7,yes,12,"3,0",very_high,full_time,0,40.0,2,good,31,13,8,1965,192460.0,no,83.042301980198,40.0,16038.33,192460.0,83.042301980198,40.0,16038.33,192460.0
46,no,travel_rarely,1582.77,NA,2,3,NA,18,High,male,170.2883972948271,high,manager,manager,low,NA,12783.92,33238.2,8,no,23,"4,0",low,part_time,0,28.0,2,good,26,15,9,1977,132038.42824318635,no,83.042301980198,28.0,12783.92,65245.87531343283,83.042301980198,28.0,12783.92,65245.87531343283
35,no,NA,556.26,NA,13,5,life_sciences,19,Medium,female,80.81845721565169,very_high,intermediate,research_scientist,low,married,4492.84,11681.39,1,no,11,"3,0",very_high,part_time,0,11.450393564917187,2,good,16,1,10,1988,62666.29706665786,no,83.042301980198,11.318933823529411,4492.84,65245.87531343283,83.042301980198,11.318933823529411,4492.84,65245.87531343283
40,no,travel_rarely,1032.49,NA,15,3,life_sciences,20,Low,male,118.0566927539748,medium,senior,manufacturing_director,high,NA,8339.32,21682.23,1,no,13,"3,0",very_high,part_time,2,18.0,2,good,18,14,12,1983,91539.64194455816,yes,83.042301980198,18.0,8339.32,65245.87531343283,83.042301980198,18.0,8339.32,65245.87531343283
