age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,salary,remote_work
51,no,,2015.72,,6,3,nan,1,low,female,,high,executive,research_director,high,,16280.83,42330.17,7,no,13,"3,0",high,full_time,0,,5,good,20,15,15,1972,195370.0,yes
52,no,,2063.39,,1,4,life_sciences,2,high,female,,medium,executive,manager,high,,,43331.17,0,,14,"3,0",low,nan,1,34,5,good,33,11,9,1971,199990.0,yes
42,no,travel_rarely,1984.25,research_&_development,4,2,technical_degree,3,high,female,,high,executive,manager,very_high,married,,41669.33,1,no,11,"3,0",very_high,nan,0,22,3,,22,11,15,1981,192320.0,yes
47,no,travel_rarely,1771.4,,2,4,medical,4,low,male,,high,manager,research_director,high,married,14307.5,37199.5,3,,19,"3,0",medium,full_time,2,,2,,20,5,6,1976,171690.0,no
46,no,,1582.77,,3,3,technical_degree,5,low,male,,very_high,manager,sales_executive,low,divorced,12783.92,33238.2,2,no,12,"3,0",very_high,nan,1,,5,good,19,2,8,1977,,no
48,no,,1771.92,research_&_development,22,3,medical,6,very_high,male,,high,manager,manager,very_high,,14311.67,37210.33,3,no,11,"3,0",medium,nan,1,,3,good,22,4,7,1975,,yes
59,no,,1032.49,,25,3,life_sciences,7,low,male,,high,senior,sales_executive,low,,8339.32,21682.23,7,,11,"3,0",very_high,part_time,0,28,3,low,21,7,9,1964,100071.84,yes
42,no,travel_rarely,556.26,,1,1,nan,8,medium,female,69.53,high,intermediate,sales_executive,high,married,,11681.39,1,no,25,"4,0",high,part_time,0,20,3,good,20,11,6,1981,53914.11,no
41,no,,1712.18,,2,5,nan,9,medium,male,,high,manager,manager,low,married,13829.17,35955.83,7,no,16,"3,0",medium,full_time,1,22,2,good,18,11,8,1982,165950.0,yes
41,no,travel_frequently,1973.98,,9,3,nan,10,low,female,,high,executive,research_director,high,,15943.72,41453.67,2,no,17,"3,0",medium,nan,1,21,2,excellent,18,0,11,1982,,no
41,no,non_travel,2060.71,,7,1,nan,11,medium,male,,low,executive,research_director,high,,16644.17,43274.83,1,no,22,"4,0",medium,full_time,2,,3,good,21,5,10,1982,199730.0,no
56,no,travel_rarely,1382.75,,23,3,life_sciences,12,very_high,female,172.84,high,manager,manufacturing_director,medium,married,,29037.67,4,yes,12,,low,full_time,1,33,0,good,19,15,9,1967,134020.0,no
38,no,,1362.52,,10,3,medical,13,medium,male,,low,senior,research_director,high,married,,28613.0,3,no,12,"3,0",low,full_time,1,,3,good,18,1,11,1985,132060.0,yes
41,yes,travel_rarely,2016.55,,12,3,nan,14,medium,male,,high,executive,research_director,high,married,,42347.5,1,no,12,"3,0",very_high,full_time,0,,0,good,22,15,8,1982,195450.0,no
55,no,,1973.98,,14,4,medical,15,high,female,,very_high,executive,research_director,medium,single,15943.72,41453.67,8,no,11,"3,0",very_high,nan,0,,3,good,24,2,15,1968,,yes
40,no,travel_rarely,1861.37,,2,4,nan,16,high,male,,high,executive,manager,high,,15034.17,39088.83,0,no,14,"3,0",very_high,full_time,0,,2,good,20,1,12,1983,180410.0,no
58,yes,travel_rarely,1985.7,,2,4,nan,17,very_high,female,,high,executive,research_director,medium,single,16038.33,41699.67,7,yes,12,"3,0",very_high,full_time,0,40,2,good,31,13,8,1965,192460.0,no
46,no,travel_rarely,1582.77,,2,3,nan,18,high,male,,high,manager,manager,low,,12783.92,33238.2,8,,23,"4,0",low,nan,0,28,2,good,26,15,9,1977,,no
35,no,,556.26,,13,5,life_sciences,19,medium,female,,very_high,intermediate,research_scientist,low,married,4492.84,11681.39,1,,11,"3,0",very_high,nan,0,,2,good,16,1,10,1988,,no
40,no,travel_rarely,1032.49,,15,3,life_sciences,20,low,male,,medium,senior,manufacturing_director,high,,8339.32,21682.23,1,,13,"3,0",very_high,nan,2,18,2,,18,14,12,1983,,yes
45,no,non_travel,1108.92,research_&_development,1,1,nan,21,high,female,,medium,senior,healthcare_representative,high,,8956.67,23287.33,3,,23,"4,0",very_high,full_time,1,25,3,low,23,14,4,1978,107480.0,no
33,no,,1032.49,,1,2,life_sciences,22,low,male,,high,senior,research_director,very_high,single,,21682.23,1,yes,12,"3,0",high,part_time,0,15,1,good,15,8,12,1990,100071.84,yes
36,no,,1032.49,,8,3,nan,23,high,male,,high,senior,healthcare_representative,high,divorced,,21682.23,1,,13,,medium,nan,3,17,2,good,17,12,8,1987,100071.84,yes
47,no,,1728.38,,2,2,other,24,high,male,216.05,high,manager,manager,very_high,married,,36296.0,1,,11,"3,0",high,full_time,1,,3,low,26,3,0,1976,167520.0,no
36,no,travel_rarely,639.79,,42,2,life_sciences,25,nan,female,79.97,high,intermediate,sales_executive,very_high,,5167.5,13435.5,1,,14,"3,0",very_high,full_time,1,18,1,,18,4,11,1987,62010.0,yes
35,no,,1032.49,,9,3,life_sciences,26,very_high,male,129.06,medium,senior,manufacturing_director,high,married,,21682.23,1,yes,20,"4,0",medium,part_time,1,17,2,good,17,5,15,1988,100071.84,no
52,yes,,2047.5,,2,1,nan,27,low,male,,low,executive,manager,very_high,married,,42997.5,1,no,15,"3,0",very_high,full_time,1,33,3,good,32,6,9,1971,198450.0,yes
36,no,,556.26,,2,4,life_sciences,28,high,male,,high,intermediate,manufacturing_director,medium,single,4492.84,11681.39,9,yes,11,"3,0",very_high,nan,0,18,2,good,16,5,12,1987,53914.11,no
33,no,travel_rarely,556.26,,28,4,life_sciences,29,medium,female,69.53,high,intermediate,laboratory_technician,high,married,4492.84,11681.39,1,,12,"3,0",medium,part_time,1,15,3,good,15,5,7,1990,53914.11,yes
34,no,non_travel,412.8,sales,10,3,life_sciences,30,very_high,female,,high,intermediate,sales_executive,high,,3334.17,8668.83,1,yes,14,"3,0",high,part_time,1,15,3,good,15,0,7,1989,40010.0,yes
41,no,,1077.87,sales,37,1,nan,31,nan,male,,high,senior,sales_executive,high,divorced,8705.83,22635.17,0,,13,"3,0",very_high,full_time,1,,3,excellent,22,13,5,1982,104470.0,yes
47,no,,1032.49,research_&_development,25,3,medical,32,low,female,,high,senior,healthcare_representative,high,,8339.32,21682.23,2,,23,"4,0",medium,nan,0,25,3,good,17,12,11,1976,,yes
53,no,travel_rarely,1973.98,,5,3,nan,33,high,male,246.75,high,executive,manager,high,,15943.72,41453.67,4,,11,"3,0",very_high,full_time,1,26,3,low,14,4,8,1970,191324.62,yes
35,no,,556.26,,1,4,marketing,34,high,female,69.53,medium,intermediate,sales_executive,low,single,4492.84,11681.39,0,no,14,,medium,part_time,0,16,2,good,15,2,8,1988,53914.11,no
34,no,travel_rarely,556.26,,6,4,other,35,low,male,,high,intermediate,research_scientist,high,single,4492.84,11681.39,1,,14,"3,0",high,nan,0,16,3,good,16,2,10,1989,,yes
46,no,travel_rarely,1032.49,,1,2,nan,36,medium,male,,high,senior,sales_executive,low,divorced,8339.32,21682.23,1,no,25,"4,0",high,part_time,3,24,2,good,24,15,7,1977,100071.84,yes
43,no,,1657.4,,16,3,nan,37,very_high,male,207.17,high,manager,manager,very_high,married,,34805.33,5,,22,"4,0",high,full_time,1,22,3,good,17,1,9,1980,160640.0,yes
