age,attrition,daily_rate,distance_from_home,education,education_field,employee_number,gender,hourly_rate,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,stock_option_level,total_working_years,training_times_last_year,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,salary,iter_hourly_rate,iter_total_working_years,iter_monthly_income,iter_salary,knn_hourly_rate,knn_total_working_years,knn_monthly_income,knn_salary,typology_id,satisfaction_id,department_role_id
51,no,2015.72,6,3,,1,female,251.96724093925067,,16280.83,42330.17,7,no,13,"3,0",0,30.039743798226997,5,20,15,15,1972,195370.0,83.042301980198,11.318933823529411,16280.83,195370.0,83.042301980198,11.318933823529411,16280.83,195370.0,11,3333,31
52,no,2063.39,1,4,life_sciences,2,female,257.9258120146022,,17117.127782767435,43331.17,0,no,14,"3,0",1,34.0,5,33,11,9,1971,199990.0,83.042301980198,34.0,5697.60022687609,199990.0,83.042301980198,34.0,5697.60022687609,199990.0,21,3213,32
42,no,1984.25,4,2,technical_degree,3,female,248.0333527886013,married,16468.25212036218,41669.33,1,no,11,"3,0",0,22.0,3,22,11,15,1981,192320.0,83.042301980198,22.0,5697.60022687609,192320.0,83.042301980198,22.0,5697.60022687609,192320.0,221,4343,132
47,no,1771.4,2,4,medical,4,male,221.4269980845505,married,14307.5,37199.5,3,no,19,"3,0",2,26.67270687498292,2,20,5,6,1976,171690.0,83.042301980198,11.318933823529411,14307.5,171690.0,83.042301980198,11.318933823529411,14307.5,171690.0,212,3323,21
46,no,1582.77,3,3,technical_degree,5,male,102.95816226378088,divorced,12783.92,33238.2,2,no,12,"3,0",1,11.260714768989226,5,19,2,8,1977,79832.80474607905,83.042301980198,11.318933823529411,12783.92,65245.87531343283,83.042301980198,11.318933823529411,12783.92,65245.87531343283,22,1443,23
48,no,1771.92,22,3,medical,6,male,107.03771937663944,,14311.67,37210.33,3,no,11,"3,0",1,11.2257637396325,3,22,4,7,1975,82995.97915848801,83.042301980198,11.318933823529411,14311.67,65245.87531343283,83.042301980198,11.318933823529411,14311.67,65245.87531343283,21,4323,122
59,no,1032.49,25,3,life_sciences,7,male,129.06104830404894,,8339.32,21682.23,7,no,11,"3,0",0,28.0,3,21,7,9,1964,100071.84,83.042301980198,28.0,8339.32,100071.84,83.042301980198,28.0,8339.32,100071.84,21,1342,53
42,no,556.26,1,1,,8,female,69.53,married,4758.553369978536,11681.39,1,no,25,"4,0",0,20.0,3,20,11,6,1981,53914.11,69.53,20.0,5697.60022687609,53914.11,69.53,20.0,5697.60022687609,53914.11,222,3333,43
41,no,1712.18,2,5,,9,male,214.02393863617652,married,13829.17,35955.83,7,no,16,"3,0",1,22.0,2,18,11,8,1982,165950.0,83.042301980198,22.0,13829.17,165950.0,83.042301980198,22.0,13829.17,165950.0,11,1323,22
41,no,1973.98,9,3,,10,female,150.4717400589286,,15943.72,41453.67,2,no,17,"3,0",1,21.0,2,18,0,11,1982,116673.2935466774,83.042301980198,21.0,15943.72,65245.87531343283,83.042301980198,21.0,15943.72,65245.87531343283,322,3324,31
41,no,2060.71,7,1,,11,male,257.590359978327,,16644.17,43274.83,1,no,22,"4,0",2,30.65968530503532,3,21,5,10,1982,199730.0,83.042301980198,11.318933823529411,16644.17,199730.0,83.042301980198,11.318933823529411,16644.17,199730.0,112,3123,31
56,no,1382.75,23,3,life_sciences,12,female,172.84,married,11535.798792500333,29037.67,4,yes,12,"3,0",1,33.0,0,19,15,9,1967,134020.0,172.84,33.0,5697.60022687609,134020.0,172.84,33.0,5697.60022687609,134020.0,212,2313,24
38,no,1362.52,10,3,medical,13,male,170.3159388469103,married,11370.012813981471,28613.0,3,no,12,"3,0",1,20.89779805746073,3,18,1,11,1985,132060.0,83.042301980198,11.318933823529411,5697.60022687609,132060.0,83.042301980198,11.318933823529411,5697.60022687609,132060.0,11,3113,51
41,yes,2016.55,12,3,,14,male,252.0704144242244,married,16733.038111989306,42347.5,1,no,12,"3,0",0,29.880282917921114,0,22,15,8,1982,195450.0,83.042301980198,11.318933823529411,5697.60022687609,195450.0,83.042301980198,11.318933823529411,5697.60022687609,195450.0,212,3343,31
55,no,1973.98,14,4,medical,15,female,111.39578920877216,single,15943.72,41453.67,8,no,11,"3,0",0,11.188426591891282,3,24,2,15,1968,86375.10453880025,83.042301980198,11.318933823529411,15943.72,65245.87531343283,83.042301980198,11.318933823529411,15943.72,65245.87531343283,21,2443,31
40,no,1861.37,2,4,,16,male,232.67323616277076,,15034.17,39088.83,0,no,14,"3,0",0,27.91259372294545,2,20,1,12,1983,180410.0,83.042301980198,11.318933823529411,15034.17,180410.0,83.042301980198,11.318933823529411,15034.17,180410.0,212,3343,32
58,yes,1985.7,2,4,,17,female,248.21458822904015,single,16038.33,41699.67,7,yes,12,"3,0",0,40.0,2,31,13,8,1965,192460.0,83.042301980198,40.0,16038.33,192460.0,83.042301980198,40.0,16038.33,192460.0,212,2343,31
46,no,1582.77,2,3,,18,male,170.2883972948271,,12783.92,33238.2,8,no,23,"4,0",0,28.0,2,26,15,9,1977,132038.42824318635,83.042301980198,28.0,12783.92,65245.87531343283,83.042301980198,28.0,12783.92,65245.87531343283,222,1313,22
35,no,556.26,13,5,life_sciences,19,female,80.81845721565169,married,4492.84,11681.39,1,no,11,"3,0",0,11.450393564917189,2,16,1,10,1988,62666.29706665786,83.042301980198,11.318933823529411,4492.84,65245.87531343283,83.042301980198,11.318933823529411,4492.84,65245.87531343283,22,1443,45
40,no,1032.49,15,3,life_sciences,20,male,118.0566927539748,,8339.32,21682.23,1,no,13,"3,0",2,18.0,2,18,14,12,1983,91539.64194455816,83.042301980198,18.0,8339.32,65245.87531343283,83.042301980198,18.0,8339.32,65245.87531343283,221,3243,54
45,no,1108.92,1,1,,21,female,138.61524490429997,,8956.67,23287.33,3,no,23,"4,0",1,25.0,3,23,14,4,1978,107480.0,83.042301980198,25.0,8956.67,107480.0,83.042301980198,25.0,8956.67,107480.0,112,3242,156
33,no,1032.49,1,2,life_sciences,22,male,129.0605591670933,single,8663.70206267265,21682.23,1,yes,12,"3,0",0,15.0,1,15,8,12,1990,100071.84,83.042301980198,15.0,5697.60022687609,100071.84,83.042301980198,15.0,5697.60022687609,100071.84,21,4333,51
36,no,1032.49,8,3,,23,male,129.0606348052847,divorced,8663.695771863177,21682.23,1,no,13,"3,0",3,17.0,2,17,12,8,1987,100071.84,83.042301980198,17.0,5697.60022687609,100071.84,83.042301980198,17.0,5697.60022687609,100071.84,21,3323,56
47,no,1728.38,2,2,other,24,male,216.05,married,14370.058320835107,36296.0,1,no,11,"3,0",1,25.92254817974515,3,26,3,0,1976,167520.0,216.05,11.318933823529411,5697.60022687609,167520.0,216.05,11.318933823529411,5697.60022687609,167520.0,12,4332,22
36,no,639.79,42,2,life_sciences,25,female,79.97,,5167.5,13435.5,1,no,14,"3,0",1,18.0,1,18,4,11,1987,62010.0,79.97,18.0,5167.5,62010.0,79.97,18.0,5167.5,62010.0,211,4343,43
35,no,1032.49,9,3,life_sciences,26,male,129.06,married,8663.695771793922,21682.23,1,yes,20,"4,0",1,17.0,2,17,5,15,1988,100071.84,129.06,17.0,5697.60022687609,100071.84,129.06,17.0,5697.60022687609,100071.84,22,3223,54
52,yes,2047.5,2,1,,27,male,255.93963491113192,married,16986.84062215084,42997.5,1,no,15,"3,0",1,33.0,3,32,6,9,1971,198450.0,83.042301980198,33.0,5697.60022687609,198450.0,83.042301980198,33.0,5697.60022687609,198450.0,11,4143,32
36,no,556.26,2,4,life_sciences,28,male,69.53100768999947,single,4492.84,11681.39,9,yes,11,"3,0",0,18.0,2,16,5,12,1987,53914.11,83.042301980198,18.0,4492.84,53914.11,83.042301980198,18.0,4492.84,53914.11,22,2343,44
33,no,556.26,28,4,life_sciences,29,female,69.53,married,4492.84,11681.39,1,no,12,"3,0",1,15.0,3,15,5,7,1990,53914.11,69.53,15.0,4492.84,53914.11,69.53,15.0,4492.84,53914.11,221,3323,47
