category_environment,environment_id,category_job_satisfaction,job_satisfaction_id,category_job_involvment,job_involvment_id,category_relationship,relationship_id,category_balance,balance_id,satisfaction_id,satisfaction
Low,,low,1,low,1,low,1,very_low,1,1111,"Low, low, low, low, very_low"
Low,,low,1,low,1,low,1,low,2,1112,"Low, low, low, low, low"
Low,,low,1,low,1,low,1,good,3,1113,"Low, low, low, low, good"
Low,,low,1,low,1,low,1,excellent,4,1114,"Low, low, low, low, excellent"
Low,,low,1,low,1,medium,2,very_low,1,1121,"Low, low, low, medium, very_low"
Low,,low,1,low,1,medium,2,low,2,1122,"Low, low, low, medium, low"
Low,,low,1,low,1,medium,2,good,3,1123,"Low, low, low, medium, good"
Low,,low,1,low,1,medium,2,excellent,4,1124,"Low, low, low, medium, excellent"
Low,,low,1,low,1,high,3,very_low,1,1131,"Low, low, low, high, very_low"
Low,,low,1,low,1,high,3,low,2,1132,"Low, low, low, high, low"
Low,,low,1,low,1,high,3,good,3,1133,"Low, low, low, high, good"
Low,,low,1,low,1,high,3,excellent,4,1134,"Low, low, low, high, excellent"
Low,,low,1,low,1,very_high,4,very_low,1,1141,"Low, low, low, very_high, very_low"
Low,,low,1,low,1,very_high,4,low,2,1142,"Low, low, low, very_high, low"
Low,,low,1,low,1,very_high,4,good,3,1143,"Low, low, low, very_high, good"
Low,,low,1,low,1,very_high,4,excellent,4,1144,"Low, low, low, very_high, excellent"
Low,,low,1,medium,2,low,1,very_low,1,1211,"Low, low, medium, low, very_low"
Low,,low,1,medium,2,low,1,low,2,1212,"Low, low, medium, low, low"
Low,,low,1,medium,2,low,1,good,3,1213,"Low, low, medium, low, good"
Low,,low,1,medium,2,low,1,excellent,4,1214,"Low, low, medium, low, excellent"
Low,,low,1,medium,2,medium,2,very_low,1,1221,"Low, low, medium, medium, very_low"
Low,,low,1,medium,2,medium,2,low,2,1222,"Low, low, medium, medium, low"
Low,,low,1,medium,2,medium,2,good,3,1223,"Low, low, medium, medium, good"
Low,,low,1,medium,2,medium,2,excellent,4,1224,"Low, low, medium, medium, excellent"
Low,,low,1,medium,2,high,3,very_low,1,1231,"Low, low, medium, high, very_low"
Low,,low,1,medium,2,high,3,low,2,1232,"Low, low, medium, high, low"
Low,,low,1,medium,2,high,3,good,3,1233,"Low, low, medium, high, good"
Low,,low,1,medium,2,high,3,excellent,4,1234,"Low, low, medium, high, excellent"
Low,,low,1,medium,2,very_high,4,very_low,1,1241,"Low, low, medium, very_high, very_low"
Low,,low,1,medium,2,very_high,4,low,2,1242,"Low, low, medium, very_high, low"
Low,,low,1,medium,2,very_high,4,good,3,1243,"Low, low, medium, very_high, good"
Low,,low,1,medium,2,very_high,4,excellent,4,1244,"Low, low, medium, very_high, excellent"
Low,,low,1,high,3,low,1,very_low,1,1311,"Low, low, high, low, very_low"
Low,,low,1,high,3,low,1,low,2,1312,"Low, low, high, low, low"
Low,,low,1,high,3,low,1,good,3,1313,"Low, low, high, low, good"
Low,,low,1,high,3,low,1,excellent,4,1314,"Low, low, high, low, excellent"
Low,,low,1,high,3,medium,2,very_low,1,1321,"Low, low, high, medium, very_low"
Low,,low,1,high,3,medium,2,low,2,1322,"Low, low, high, medium, low"
Low,,low,1,high,3,medium,2,good,3,1323,"Low, low, high, medium, good"
Low,,low,1,high,3,medium,2,excellent,4,1324,"Low, low, high, medium, excellent"
Low,,low,1,high,3,high,3,very_low,1,1331,"Low, low, high, high, very_low"
Low,,low,1,high,3,high,3,low,2,1332,"Low, low, high, high, low"
Low,,low,1,high,3,high,3,good,3,1333,"Low, low, high, high, good"
Low,,low,1,high,3,high,3,excellent,4,1334,"Low, low, high, high, excellent"
Low,,low,1,high,3,very_high,4,very_low,1,1341,"Low, low, high, very_high, very_low"
Low,,low,1,high,3,very_high,4,low,2,1342,"Low, low, high, very_high, low"
Low,,low,1,high,3,very_high,4,good,3,1343,"Low, low, high, very_high, good"
Low,,low,1,high,3,very_high,4,excellent,4,1344,"Low, low, high, very_high, excellent"
Low,,low,1,very_high,4,low,1,very_low,1,1411,"Low, low, very_high, low, very_low"
Low,,low,1,very_high,4,low,1,low,2,1412,"Low, low, very_high, low, low"
Low,,low,1,very_high,4,low,1,good,3,1413,"Low, low, very_high, low, good"
Low,,low,1,very_high,4,low,1,excellent,4,1414,"Low, low, very_high, low, excellent"
Low,,low,1,very_high,4,medium,2,very_low,1,1421,"Low, low, very_high, medium, very_low"
Low,,low,1,very_high,4,medium,2,low,2,1422,"Low, low, very_high, medium, low"
Low,,low,1,very_high,4,medium,2,good,3,1423,"Low, low, very_high, medium, good"
Low,,low,1,very_high,4,medium,2,excellent,4,1424,"Low, low, very_high, medium, excellent"
Low,,low,1,very_high,4,high,3,very_low,1,1431,"Low, low, very_high, high, very_low"
Low,,low,1,very_high,4,high,3,low,2,1432,"Low, low, very_high, high, low"
Low,,low,1,very_high,4,high,3,good,3,1433,"Low, low, very_high, high, good"
Low,,low,1,very_high,4,high,3,excellent,4,1434,"Low, low, very_high, high, excellent"
Low,,low,1,very_high,4,very_high,4,very_low,1,1441,"Low, low, very_high, very_high, very_low"
Low,,low,1,very_high,4,very_high,4,low,2,1442,"Low, low, very_high, very_high, low"
Low,,low,1,very_high,4,very_high,4,good,3,1443,"Low, low, very_high, very_high, good"
Low,,low,1,very_high,4,very_high,4,excellent,4,1444,"Low, low, very_high, very_high, excellent"
Low,,medium,2,low,1,low,1,very_low,1,2111,"Low, medium, low, low, very_low"
Low,,medium,2,low,1,low,1,low,2,2112,"Low, medium, low, low, low"
Low,,medium,2,low,1,low,1,good,3,2113,"Low, medium, low, low, good"
Low,,medium,2,low,1,low,1,excellent,4,2114,"Low, medium, low, low, excellent"
Low,,medium,2,low,1,medium,2,very_low,1,2121,"Low, medium, low, medium, very_low"
Low,,medium,2,low,1,medium,2,low,2,2122,"Low, medium, low, medium, low"
Low,,medium,2,low,1,medium,2,good,3,2123,"Low, medium, low, medium, good"
Low,,medium,2,low,1,medium,2,excellent,4,2124,"Low, medium, low, medium, excellent"
Low,,medium,2,low,1,high,3,very_low,1,2131,"Low, medium, low, high, very_low"
Low,,medium,2,low,1,high,3,low,2,2132,"Low, medium, low, high, low"
Low,,medium,2,low,1,high,3,good,3,2133,"Low, medium, low, high, good"
Low,,medium,2,low,1,high,3,excellent,4,2134,"Low, medium, low, high, excellent"
Low,,medium,2,low,1,very_high,4,very_low,1,2141,"Low, medium, low, very_high, very_low"
Low,,medium,2,low,1,very_high,4,low,2,2142,"Low, medium, low, very_high, low"
Low,,medium,2,low,1,very_high,4,good,3,2143,"Low, medium, low, very_high, good"
Low,,medium,2,low,1,very_high,4,excellent,4,2144,"Low, medium, low, very_high, excellent"
Low,,medium,2,medium,2,low,1,very_low,1,2211,"Low, medium, medium, low, very_low"
Low,,medium,2,medium,2,low,1,low,2,2212,"Low, medium, medium, low, low"
Low,,medium,2,medium,2,low,1,good,3,2213,"Low, medium, medium, low, good"
Low,,medium,2,medium,2,low,1,excellent,4,2214,"Low, medium, medium, low, excellent"
Low,,medium,2,medium,2,medium,2,very_low,1,2221,"Low, medium, medium, medium, very_low"
Low,,medium,2,medium,2,medium,2,low,2,2222,"Low, medium, medium, medium, low"
Low,,medium,2,medium,2,medium,2,good,3,2223,"Low, medium, medium, medium, good"
Low,,medium,2,medium,2,medium,2,excellent,4,2224,"Low, medium, medium, medium, excellent"
Low,,medium,2,medium,2,high,3,very_low,1,2231,"Low, medium, medium, high, very_low"
Low,,medium,2,medium,2,high,3,low,2,2232,"Low, medium, medium, high, low"
Low,,medium,2,medium,2,high,3,good,3,2233,"Low, medium, medium, high, good"
Low,,medium,2,medium,2,high,3,excellent,4,2234,"Low, medium, medium, high, excellent"
Low,,medium,2,medium,2,very_high,4,very_low,1,2241,"Low, medium, medium, very_high, very_low"
Low,,medium,2,medium,2,very_high,4,low,2,2242,"Low, medium, medium, very_high, low"
Low,,medium,2,medium,2,very_high,4,good,3,2243,"Low, medium, medium, very_high, good"
Low,,medium,2,medium,2,very_high,4,excellent,4,2244,"Low, medium, medium, very_high, excellent"
Low,,medium,2,high,3,low,1,very_low,1,2311,"Low, medium, high, low, very_low"
Low,,medium,2,high,3,low,1,low,2,2312,"Low, medium, high, low, low"
Low,,medium,2,high,3,low,1,good,3,2313,"Low, medium, high, low, good"
Low,,medium,2,high,3,low,1,excellent,4,2314,"Low, medium, high, low, excellent"
Low,,medium,2,high,3,medium,2,very_low,1,2321,"Low, medium, high, medium, very_low"
Low,,medium,2,high,3,medium,2,low,2,2322,"Low, medium, high, medium, low"
Low,,medium,2,high,3,medium,2,good,3,2323,"Low, medium, high, medium, good"
Low,,medium,2,high,3,medium,2,excellent,4,2324,"Low, medium, high, medium, excellent"
