,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
0,51,No,,2015.7222222222224,,6,3,,1,1,1,0,,3,5, resEArch DIREcToR ,3,,"16280,83$","42330,17$",7,Y,No,13,"3,0",3,Full Time,0,,5,"3,0",20,,15,15,"16280,83$",1972,"195370,00$",,,Yes
1,52,No,,2063.3888888888887,,1,4,Life Sciences,1,2,3,0,,2,5, ManAGeR ,3,,,"43331,17$",0,,,14,"3,0",1,,1,"34,0",5,"3,0",33,,11,9,,1971,"199990,00$",,,1
2,42,No,travel_rarely,1984.253968253968, Research & Development ,4,2,Technical Degree,1,3,3,0,,3,5, ManaGER ,4,Married,,"41669,33$",1,,No,11,"3,0",4,,0,"22,0",3,,22,,11,15,,1981,"192320,00$", ManaGER  -  Research & Development ,,1
3,47,No,travel_rarely,1771.4047619047622,,2,4,Medical,1,4,1,1,,3,4, ReseArCH DIrECtOr ,3,Married,"14307,50$","37199,50$",3,Y,,19,"3,0",2,Full Time,2,,2,,20,,5,6,"14307,50$",1976,"171690,00$",,,False
4,46,No,,1582.7713464696226,,3,3,Technical Degree,1,5,1,1,,4,4, sAleS EXECUtIve ,1,Divorced,"12783,92$","33238,20$",2,Y,No,12,"3,0",4,,1,,5,"3,0",19,,2,8,"12783,92$",1977,,,,0
5,48,No,,1771.920634920635, Research & Development ,22,3,Medical,1,6,4,1,,3,4, MANAger ,4,,"14311,67$","37210,33$",3,,No,11,"3,0",2,,1,,3,"3,0",22,,4,7,"14311,67$",1975,, MANAger  -  Research & Development ,,Yes
6,59,No,,1032.4872861766066,,25,3,Life Sciences,1,7,1,1,,3,3, Sales ExeCutIVe ,1,,"8339,32$","21682,23$",7,Y,,11,"3,0",4,Part Time,0,"28,0",3,"2,0",21,,7,9,"8339,32$",1964,"100071,84$",,,True
7,42,No,travel_rarely,556.2566609977324,,1,1,,1,8,2,0,69.53208262471655,3,2, Sales eXEcUTiVe ,3,Married,,"11681,39$",1,,No,25,"4,0",3,Part Time,0,"20,0",3,"3,0",20,,11,6,,1981,"53914,11$",,,0
8,41,No,,1712.1825396825398,,2,5,,1,9,2,1,,3,4, mANAGEr ,1,Married,"13829,17$","35955,83$",7,,No,16,"3,0",2,Full Time,1,"22,0",2,"3,0",18,,11,8,"13829,17$",1982,"165950,00$",,,True
9,41,No,travel_frequently,1973.9841269841268,,9,3,,1,10,1,0,,3,5, reSEaRCH DIrectoR ,3,,"15943,72$","41453,67$",2,,No,17,"3,0",2,,1,"21,0",2,"4,0",18,,0,11,"15943,72$",1982,,,,0
