category_environment,environment_id,category_job_satisfaction,job_satisfaction_id,category_job_involvment,job_involvment_id,category_relationship,relationship_id,category_balance,balance_id,satisfaction_id,satisfaction
low,1,low,1,low,1,low,1,very_low,1,11111,"low, low, low, low, very_low"
low,1,low,1,low,1,low,1,low,2,11112,"low, low, low, low, low"
low,1,low,1,low,1,low,1,good,3,11113,"low, low, low, low, good"
low,1,low,1,low,1,low,1,excellent,4,11114,"low, low, low, low, excellent"
low,1,low,1,low,1,medium,2,very_low,1,11121,"low, low, low, medium, very_low"
low,1,low,1,low,1,medium,2,low,2,11122,"low, low, low, medium, low"
low,1,low,1,low,1,medium,2,good,3,11123,"low, low, low, medium, good"
low,1,low,1,low,1,medium,2,excellent,4,11124,"low, low, low, medium, excellent"
low,1,low,1,low,1,high,3,very_low,1,11131,"low, low, low, high, very_low"
low,1,low,1,low,1,high,3,low,2,11132,"low, low, low, high, low"
low,1,low,1,low,1,high,3,good,3,11133,"low, low, low, high, good"
low,1,low,1,low,1,high,3,excellent,4,11134,"low, low, low, high, excellent"
low,1,low,1,low,1,very_high,4,very_low,1,11141,"low, low, low, very_high, very_low"
low,1,low,1,low,1,very_high,4,low,2,11142,"low, low, low, very_high, low"
low,1,low,1,low,1,very_high,4,good,3,11143,"low, low, low, very_high, good"
low,1,low,1,low,1,very_high,4,excellent,4,11144,"low, low, low, very_high, excellent"
low,1,low,1,medium,2,low,1,very_low,1,11211,"low, low, medium, low, very_low"
low,1,low,1,medium,2,low,1,low,2,11212,"low, low, medium, low, low"
low,1,low,1,medium,2,low,1,good,3,11213,"low, low, medium, low, good"
low,1,low,1,medium,2,low,1,excellent,4,11214,"low, low, medium, low, excellent"
low,1,low,1,medium,2,medium,2,very_low,1,11221,"low, low, medium, medium, very_low"
low,1,low,1,medium,2,medium,2,low,2,11222,"low, low, medium, medium, low"
low,1,low,1,medium,2,medium,2,good,3,11223,"low, low, medium, medium, good"
low,1,low,1,medium,2,medium,2,excellent,4,11224,"low, low, medium, medium, excellent"
low,1,low,1,medium,2,high,3,very_low,1,11231,"low, low, medium, high, very_low"
low,1,low,1,medium,2,high,3,low,2,11232,"low, low, medium, high, low"
low,1,low,1,medium,2,high,3,good,3,11233,"low, low, medium, high, good"
low,1,low,1,medium,2,high,3,excellent,4,11234,"low, low, medium, high, excellent"
low,1,low,1,medium,2,very_high,4,very_low,1,11241,"low, low, medium, very_high, very_low"
low,1,low,1,medium,2,very_high,4,low,2,11242,"low, low, medium, very_high, low"
low,1,low,1,medium,2,very_high,4,good,3,11243,"low, low, medium, very_high, good"
low,1,low,1,medium,2,very_high,4,excellent,4,11244,"low, low, medium, very_high, excellent"
low,1,low,1,high,3,low,1,very_low,1,11311,"low, low, high, low, very_low"
low,1,low,1,high,3,low,1,low,2,11312,"low, low, high, low, low"
